"Original asset URL","Type","HTTP status","Local file","Size (bytes)","Status","Note"
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/67923c551123732db723b050_ana.jpg","image","200","assets/images/67923c551123732db723b050_ana.jpg","1110656","done",""
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/67923c551123732db723b050_ana-p-500.jpg","image","200","assets/images/67923c551123732db723b050_ana-p-500.jpg","19633","done",""
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/67923c551123732db723b050_ana-p-800.jpg","image","200","assets/images/67923c551123732db723b050_ana-p-800.jpg","40516","done",""
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/67923c551123732db723b050_ana-p-1080.jpg","image","200","assets/images/67923c551123732db723b050_ana-p-1080.jpg","65335","done",""
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/67923c551123732db723b050_ana-p-1600.jpg","image","200","assets/images/67923c551123732db723b050_ana-p-1600.jpg","120450","done",""
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/67923c44b96499e7828b3f02_freud.jpg","image","200","assets/images/67923c44b96499e7828b3f02_freud.jpg","931407","done",""
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/67923c44b96499e7828b3f02_freud-p-500.jpg","image","200","assets/images/67923c44b96499e7828b3f02_freud-p-500.jpg","14318","done",""
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/67923c44b96499e7828b3f02_freud-p-800.jpg","image","200","assets/images/67923c44b96499e7828b3f02_freud-p-800.jpg","31117","done",""
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/67923c44b96499e7828b3f02_freud-p-1080.jpg","image","200","assets/images/67923c44b96499e7828b3f02_freud-p-1080.jpg","54040","done",""
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/67923c44b96499e7828b3f02_freud-p-1600.jpg","image","200","assets/images/67923c44b96499e7828b3f02_freud-p-1600.jpg","108894","done",""
"https://cdn.prod.website-files.com/673306db3b111afa559bc378/6a57521a66d01829a49634b6_6a2904197526731405fcce8a_BYANYMEANS_2024-04-28_EJA-02511_R1.webp","image","200","assets/images/6a57521a66d01829a49634b6_6a2904197526731405fcce8a_BYANYMEANS_2024-04-28_EJA-0251.bin","408130","done",""
